,text,sentiment
86,mile you i essex so give me plenty warning so i can arrive time to at least those free beer,neutral
87,his snoring so annoying n it keep me sleep like right now laugh Loud but i honestly wud miss it if it leave i love him,neutral
88,i miss you bby wish you go tomorrow to make me good,negative
89,well what i work not quite ready to post about publicly still beta testing but its a cool new script i code,positive
90,sweet san fran awesome ! love it there,positive
91,mounce yes and it last way my bedtime !,neutral
92,hi how you do ? just join twitter ...,neutral
93,wait sleep pill to kick in ... gon na so tired work tomorrow,negative
94,eat ice cream and then get ready graduation,neutral
95,happy mothers day all you mum out there,positive
96,casey`s go ? ! but why so she piddle a little the carpet she`s prolly freak cause it new can we her back,negative
97,hemp cloth marvelous but unfortunately no,negative
98,gon na read a story bout adam lambert online then bed nighty night,neutral
99,we see that none 3d the baddie`s the good,positive
100,am and i the beach pretty,positive
101,certainly not cheer than huh ?,neutral
102,week post my'horrible traumatic jumping cholla accident next dirty trick piece start to emerge my hand ! ouch,negative
103,i realy want to go out cause its so nice but everybodys busy,negative
104,awesome i down ocean beach if you know where that the way yourbiggestfan i a re - al big fan you rs,positive
105,least i get to watch time let`s go pen !,neutral
106,cool i wear black most the time when i go,neutral
107,haha i not know how to work blip apart the obvious ! thank reblippe my song a nice day,positive
108,a safe trip joshy poo you`ll knock them dead your speech,positive
109,woof i wish i allow to go,positive
110,if You a friendster add me ! my email adress add me loco crime add me leave some comment,neutral
111,ticket ?,neutral
112,thank you afrin nasal spray ! also i get a giant teacup tonight,positive
113,acsm it unfathomable i think the other one and the that should keep the comfort our bedroom yes ?,neutral
114,aww i love my daddy ! he work day a week almost all day and still try to go sf all us,positive
115,so many test todayy i not feel confident anyy,negative
116,graduation do i a little sad anyone want to hang ?,negative
117,hahaa your awesomee !,positive
118,holy smokes ! star trek freak awesomee,positive
119,i hate fallout it keep make me jump i also low health money ammo and food not worry i will it,neutral
120,i it ! my itune but then i lose all my song,neutral
121,what`s the gloomy weather ? the sun must too tired to come and play head victoria gardens some impulse buy,neutral
122,not look forward next week math geography english and french exam total hour,negative
123,poor you get outside and sleep the garden the sun will you good but not forget suncream !,negative
124,not well,negative
125,not a prob hun,positive
126,dad watch some mtv and go sims2 a minutee,neutral
127,absolutely,neutral
128,what the matter chickadee ?,neutral
129,hey mia ! totally adore your music when will your cd ?,positive
130,shopping cleaning bmfe webcam chat nephews nothing spesh but a good bank holiday monday nonetheless,positive
131,o you need to ask him something ? laugh My i love him too,positive
132,those splinter look very painful ... but you very heroic save mr . pickle,negative
133,why you sad ?,negative
134,nice to see you tweet ! it`s sunday 10th may and we celebrate mother`s day here today so nice yer mom,positive
135,decide trans frm relax natural hair but i wish my whole head look like my root age the instant gratification,positive
136,namaskar & namaste both the same marathi people say namaskar ! its a marathi word should i ? ... naah,neutral
137,congrat ! i cuss like that a matter minute but not know now there a reward it,neutral
138,humous and dorito`s oh yes,neutral
139,miss all the awesome weather because she a movie !,negative
140,today go to a normal day i hope we a group pilot a large airline come last night so it too much drink,neutral
141,these kid terrible ! if i good evans i would call childline,negative
142,unfortunatley aerlingus no longer fly to copenhagen so we to fly ryanair to billund and drive to copenhagen the day !,negative
143,what`s sad that i actually to google that term that suck tho,negative
144,hate fighting,negative
145,i watch that too ! i nt want her to win but she put a good fight laugh loud,neutral
146,car warm sprite taste like sore throat,negative
147,just come 11th cross country and beat dumbo,neutral
148,candle wax very enjoyable,positive
149,she`s unassuming and unpretentious she`s just as i suppose that why she so endearing because we can relate her,positive
150,tomorrow valeria`s lunch ! go to my hair do but i arrave late get my cousin babtizm or whatever you spell it,neutral
151,goodd morning tweet ! week my workout i mention i get my new glass yesterday ?,positive
152,me too i hate my computer so much,negative
153,fine ! go to my big walk today or so mile,positive
154,i want red cruiser ! i not like the other one lmfao,negative
155,mm ... ? it the morning,neutral
156,me neither,neutral
157,hour work to a sunday boo i will find time a hour lunchbreak though yeah,neutral
158,bugger forget i still wash my machine,negative
159,laurie send love blessing & heal thought you & family peace,positive
160,my back hurt ... really bad,negative
161,ah yes i know that feeling,neutral
162,night the cooker my dad,neutral
163,my modem offline a week now ... god bless the g network tim just leave again ! may schedule brutal,negative
164,nope i coquitlam,neutral
165,parent teacher thing yesterday ! so boring go to skl saturday laugh loud,negative
166,lichfield tweetup sound like fun hope to see you and everyone else there !,positive
167,big booming thunder storm almost here maybe we can all go home early ? ah ... probably not,neutral
168,few bevvie twn great a day off !,positive
169,first night myers just not the same w out lydia ! but i actually excited this summer,positive
170,good morning,positive
171,its the good show ever !,positive
172,url previous post to timer job should i would remove space which mess url,negative
173,i think hurt my tooth and eilish and cassie have a draw competiton to draw cookie and pineapple haha l,neutral
174,i want to know when the audition mander ! text or ... reply please,neutral
175,or even noo not the secret namerebecca please,negative
176,i miss my neice can not wait to see her bad grown ! laugh loud,negative
177,i need to my computer fix,neutral
178,really hope her car`s illness not terminal ...,negative
179,all the cool people i want to find follow today english and i guess the english not tweet,neutral
180,no sir ... i woulda put honey but i not any,neutral
181,who watch x man origin wolverine ? i totally love it ! haha,positive
182,i vote ! You a personal myspace ? i keep talk fake i EMOTION_LOVE     you You help me the hrd time my life EMOTION_SMILE,positive
183,i sad that i miss you guy last night !,negative
184,finally get a call marriage counseling day late,neutral
185,ok then,neutral
186,why baby ?,neutral
187,today the last day high school me and i end go home sick ! ... stupid dead rat,negative
188,have an impromptu pool party ... except i not know how to swim so i can not,neutral
189,lose my tooth 2day whilst i eat gum ... oww,negative
190,happy year ! EMOTION_LOVE,positive
191,oh i hella forget to say my official good morning like to hear it ? here it go ! good morrne twitterville laugh loud,positive
192,phew will make a note case anyone else run the same issuei ?,neutral
193,what me ? i vote every day you !,negative
194,i starve ! this diet kill me but i can not eat pm,negative
195,i talk you,neutral
196,i soo bored ... i be deffo miss my music channel,negative
197,nite nite bday girl fun concert,positive
198,nicotine replacement patch hour so far so good but i sleep most those hour get a bit twitchy now,neutral
199,sanderson what`s twatter lately ? either i can not or the reply not turn !,neutral
200,should sleep lose my voice a couple day ago,negative
201,hate when my park car get hit,negative
202,i hear this fall i wait too !,neutral
203,more nightmare ? huggle,neutral
204,i such a creeper i feel disappointed because it my cyberstalking skill the internet no more privacy,negative
205,go to bed its late and i headache,negative
206,happy mother`s day all mom out there ...,positive
207,grab coffee then make mom breakfast,neutral
208,i think that i go to fun tonight and maybe some change come,positive
209,thank the major chop,neutral
210,haha i know i ca nt handle the fame ! and thank you,positive
211,just get and update my ipod,neutral
212,yes ! sober hahaha tanghale tapat dude haha wild i not knoww plan plan you go us,positive
213,we never miss icarly my son a huge crush miranda,positive
214,see james carville the store today his head really that bald,neutral
215,yellow ?,neutral
216,which mean you just go to to come back vancouver and it our way ! hahah,neutral
217,feel smooth like chrome,positive
218,traffic,negative
219,download song while try to sneak a lil homework too which should my main priority not song laugh loud,neutral
220,ra ra your not alone ... i need coffee too,neutral
221,sound like me,neutral
222,bad day the day you realize what mess you put me will the happy day my life ...,neutral
223,walk class i hate not have a bike especially mine,negative
224,nesmith,neutral
225,fail inspection you know you can pass wo oven but not wo anti - tip bracket which only sell w oven ? this bad than taxis,negative
226,jonas brothers live party rock so hard i love the song,positive
227,happy mother`s day all the mother the world,positive
228,the 1hr 20mins google wave demo that look a lot fun would love to test it though,positive
229,sleepy tabz head bed fun night ! listen the next episode joss`d,positive
230,the exception a short dude larenz fineass tate yum,neutral
231,screw the review i think wolverine awesome but not enough dominic monaghan my liking,positive
232,if you follow us recently please nt offend that we not follow we hit our limit hopefully we will free soon,positive
233,yes i work ...,neutral
234,hmm maybe that what they mean they elude something brand new but you know how the media,neutral
235,do the spa now meet vic some late lunch !,neutral
236,happy monday and go tavare today hope everyone a bless day !,positive
237,always want to go oz,neutral
238,thank You,neutral
239,cool ... luv it,positive
240,that why i need to there ... to represent the blackberry,positive
241,okay so i dedicate my 300th tweet the fact that i go the apple store because there a huge crack the glass screen !,neutral
242,if only we could ever actually allow to stay here and that,neutral
243,let me know how that turn !,neutral
244,that sass i detect ? as long as it not back sass ! haha,neutral
245,yeah i think that ahaha,positive
246,sport bar shatranjanpoli rest ph all sport bar andheri w nt know whether that help google ki jai ho,neutral
247,i not sleep at all accept my appology,negative
248,wolverine boss ! seriously and will.i.am it what the ?,negative
249,i live pain bring it,neutral
250,okay i out a while back later !,neutral
251,powerblog what this powerblog challenge you keep talk ? i a newbie follower,neutral
252,almost die laptop screen set % brightness i reinstall windows vista get a headache now insanedefault,positive
253,wait tish to get to drive my mom crv to pick her all my myself and duckie first time,neutral
254,try to decide a movie the friend not go to well ! laugh Loud no bible study 2nite which mean cake buy my own ?,negative
255,go to shower because i not want to smell school tomorrow,neutral
256,sigh ... you know i,neutral
257,discover cause a bug the new netplayer build publishing bug fix now hopefully new beta tomorrow,positive
258,here free twitter tool will you follower,neutral
259,just get home work and chug a big bottle apple juice,neutral
260,yes it please nt go if you die i will cry which normally lead small animal get harm,negative
261,write report card soo tired but what an amazing day check it fb soon !,positive
262,it only once my big brother ... and i do now,neutral
263,good news finally finish my easactive workout that pause hour bad news my resistance band tear,neutral
264,well good morning all what a wonderful day the neighborhood thank all those that now follow another this morning,positive
265,ftsk and mercy mercede amazing tonight as always,positive
266,hope he ok !,positive
267,can not school just do already ? it hurt too much ... see him every day,positive
268,i wait listen to wind blow the tumbleweed ? none you old enough to know what to when someone say crackerack,neutral
269,hell yeah !,neutral
270,him shirt dinner ? you need to ask it actually ville it,neutral
271,i know !,neutral
272,huh what the ? smelly noo i love alex vixon,neutral
273,go a party last night dindin and i show match outfit great mind think alike anyway happy birthday eat lara,positive
274,happy b day ! just wake this side earth so wish bite late,positive
275,thank you teach me value and to a well person each day i love so much you`re the good mum the world,positive
276,happy mothers day !,positive
277,laugh i glad that you self confidence it a wonderful trait to i will applaud extra loud it okay ?,positive
278,thank,positive
279,twitter day !,neutral
280,get ready week its too nice today to stick work !,positive
281,i tre depress,negative
282,feel like behave like my son eat to compensate pig home roast sugar almond painful tum throw still feel sick,negative
283,happy mothers day people i love my mom a lot still,positive
284,i sorry to hear that,negative
285,awesome dude yay surprise celebrity ! i get to meet him a few year ago he soo friendly,positive
286,it make me happy to hear a girl talk or tweet the nba but ... could you give my nugget some love ? !,positive
287,get the hang twitter,neutral
288,you know your neck jack when you force to pay parking bc you can not turn you head parallel park the free space ...,negative
289,i want it back now !,neutral
290,go to miss my roomie ... we will no longer roomie start tomorrow,negative
291,bathe little angel keyla and janice,neutral
292,yep finish chock full spelling and grammatical error but i clean it tomorrow and pop it hehe,negative
293,hahahha laugh loud true that ! i always remember my bd but i can never remember what date or even day it,neutral
294,family here hang them,neutral
295,watch ellen love her ! then do the dish and tanning ... it`s gorgeous,positive
296,what go hun ? i worried you,negative
297,i not bannished ... but i work till,negative
298,morning ! if i get to see it i will let you know right now i go to go see wolverine,neutral
299,red top tabloid build em knock em,neutral
300,tonight party w/ my girl vita,positive
301,why not now you make me sad i think you would jump joy,neutral
302,simple my a @,neutral
303,the pic i just upload the baby pic my cat missy now an adult and a pretty little kitty but batty kitten heaven now,neutral
304,i see the play it here it amazing,positive
305,i glad to break my twitt virginity you,positive
306,dinner the fam ... i miss them,negative
307,live that`s what i want more the well bind to a few bad egg though but they will soon learn,neutral
308,hell yeah kellynn get a twitter finally,neutral
309,i know it worth a shot though !,positive
310,just open a facebook account i a little confused i not really it twitter seem much well,positive
311,ship i stuck,negative
312,dustbin baby can not wait,positive
313,not go to dwell it it happen it pass just a shame as he so supportive ! such life,negative
314,it look like the office tv mlb network ... and it look like mlbn will not televise the det bal game today wieter,
315,home empty handed no comic_strip find today i shall now indulge my cupcake magnolia bakery,neutral
316,lay bed til workk ... oh the life definitely pinch a nerve,neutral
317,today a busy day exhausting !,negative
318,i go to go sunday but now i get too much go that weekend,negative
319,sorry to hear ur flight get cancel that blow !,neutral
320,ohh my tooth hurt ohh i sad it very hurt,negative
321,i get too distracted i would like to thank my new follower take the trouble to follow me ! and my other feelin the love,negative
322,You think You bill ha!ii just finish pay mine that y i break,positive
323,not sure it not say it big i jst see the pic You ur last bday you look so pretty ! i miss you,negative
324,sore throat plan the tet out marwell though ... good time,neutral
325,mcfly gig last nightt omg it amazin nt sit the whole thing mcfly you see me and ma good mate we tutus,neutral
326,day sleep and now a migraine i think life postr01 mean to relax,positive
327,there !,negative
328,? suck !,neutral
329,when s the sway sway winner announce ?,negative
330,k will check it ...,neutral
331,do pretty well up and wide awake,neutral
332,i want to wake early and a coffee tomorrow today ! it go to a busyy day but to keep write boo whoo,positive
333,i miss daddy and mommy,neutral
334,my dog officially depressed that my brother`s dog go he not want to go outside and when we he play half heartedly,negative
335,i just realize that i can not forward text msgs my iphone,negative
336,my frist post ... to find a new car my parent exciting !,neutral
337,argh noo ! miss the killer wossy that suck miss brandon total failure anyone know if it repeat ? must investigate,positive
338,seriously bored anyone to talk ... but not tired enough sleep,negative
339,i lose please help me find a good home,negative
340,it`s a peter & gordon morning and i go piece and i wanna hide go piece and i almost die ever ... ?,negative
341,ok so i now get a bit a bad back lift all drum hardware my car downer,neutral
342,laugh My ... smh ! that one throw me,negative
343,oh nice go !,neutral
344,get ready work ... work all weekend,positive
345,gon na celebrate mother day the family but gon na start the party tonite,neutral
346,i agree you !,positive
347,i only computer hopeless everything else,positive
348,degree gross sky and thunderstorm ... perfect match my mood laugh Loud,negative
349,2nd aww thank !,positive
350,sorry rb ps3 me,positive
351,i see amazing heel but they too big,negative
352,i just stick my finger my throat and there a bunch bump my tongue & throat,neutral
353,dang last url go down ?,negative
354,ohoh i miss all ur tweet i gon na to stay awake all night to see the announcement now time difference,negative
355,damnit all that suck you the one i think i would drag back laugh loud,negative
356,my boss she`s move nyc,negative
357,this soo crazy i fever,neutral
358,spend her saturday morning take note a research essay because some stupid recall the book i use not fair,negative
359,i think i need some new friend,negative
360,look forward your gig ireland ! see ya there,neutral
361,please review sunehre ad placement,neutral
362,you loove me,positive
363,hungry twitter i want food,positive
364,awesome lucky you,neutral
365,yea i should know but tell me everything ! ps send me direct message tell haha,positive
366,haha i jewish i love that,neutral
367,a great time the beer garden wit the boyos ! i think the sun get me a bit though feel a bit ill,positive
368,l`m day too matt no fun this weekend,neutral
369,You really not think so ? maybe ur right laugh loud the way what phone You use think You tell me before ... i may an app You,negative
370,i feel your pain mine the same way,neutral
371,come home day,negative
372,sadly no it not come ...,neutral
373,ca nt wait to see my boy tomorrow,negative
374,ehh no just a check i a dentist app next week though get my molar pull root canal,positive
375,aww i miss drive elmwood,neutral
376,omg wango tango awsome ! i love my baby take me,negative
377,version our live interactive trans - siberian ticket planner launch its very cool,positive
378,i really wish i could go !,positive
379,yeah real hard but i know you will it ... smile,positive
380,i december that not good at all next big birthday it fly sure,neutral
381,this make my night ! way too funny,negative
382,woo cavs happy mother`s day !,positive
383,i make that same face when i get home and your mom watch soap,positive
384,i to go work now,neutral
385,i can not believe you go and get boba me,neutral
386,and you too how you today ?,neutral
387,thank the warm welcome ! we not make plan because our arrival time so up the air,neutral
388,day and counting,positive
389,sorry friend i swamp deadline right now and we family visit boot ! no charade me,neutral
390,brainfreeze,negative
391,just discover a shortcoming gravity when you use twitpic integrate it not subtract the pic url the character limit,neutral
392,my sunburn peel,neutral
393,perky purple nail polish not as perky when its chip,negative
394,they put a camera the smoker pit i can no longer vandalize that door catch,neutral
395,lay alone ! since mook`s soo comfy his f`n play pen i think it ill first now i not no one to cuddle ...,neutral
396,i hate the dentist,negative
397,nothing aim you just join in ... sorry,negative
398,i take a twitt break cell die,negative
399,qood morninq,negative
400,write my english original writing storyy and listen a little respect erasure aah,neutral
401,need more follower,neutral
402,i wish i could my nail do stupid job,neutral
403,the little wormy labyrinth sadly pass today but its ok as he still around a happy ghost form aww,negative
404,the no pant ' idea could the new attempt world wide to attract business back the airline,neutral
405,a good one,neutral
406,yep infact she popular miss india talented film actress and lot more,positive
407,dosen`t want to go work tomorrow,positive
408,daniel win dsds his voice great,negative
409,i wish the birthday massacre would come australia i think they say they think it tho,positive
410,hope to go red lobster this weekend,neutral
411,atl You mean jack ? ! wow so You ever go his house hehe i mean ur ssoo lucky to the address,neutral
412,i sure hope it become this afternoon ...,positive
413,it mean that you now famous congrat !,positive
414,my phone pass away yesterday he jump the table search a new phone ...,positive
415,i such fantastic friend include several one meet here ! thank my life you such amazing people,negative
416,tamlyn wish she as cool as my sock draw,positive
417,so no rice or crusty bread the chili aaww,positive
418,we like mind this evening my dear !,neutral
419,come and save me my packing please ? !,neutral
420,yes i love tea if that make me typically english then so it,neutral
421,a mouth sure,positive
422,dec0de i finally just hour history ... pm ! but i go my highschool to make some homework a friend,positive
423,pancake ! lemon and sugar thank,neutral
424,si no bueno i guess i just not entertain him,positive
425,i so hunrgy right now and these heel kill me i can hardly walk them,negative
426,both electronic key stop work there no keyhole ! ca nt my car so much technology,negative
427,yay follower ! good to know more than person this big wide world like fishie,negative
428,my name tony ! ... not hey poor tony,positive
429,goodmorne,negative
430,take a shift tomorrow i not really feel like work right now,positive
431,i love mine too happy motheri ? s day your mom john taylor much love you too,negative
432,see a black snake the garden go back a picture and it go,positive
433,we buy ludi her own rug dog the good,neutral
434,no waterfront anymore faccia luna and clarendon will to,positive
435,love her mum very much ! happy mother day all the wonderful mother out there,negative
436,slip and catch the flu feeling like poop !,positive
437,i an urge to play wow but i to wait week til i my dad ! + til mcfly i so excited l,negative
438,ok ... the passenger no one alive they all dead you just not know it til the end then you cry,positive
439,discover and share g reader me and not even know it sigh i such a g reader newb,negative
440,chill tonite so can not spew venom or write funny seem like these the only style she,neutral
441,if You please pray me lord know i need it,neutral
442,aaw i want to live the usa,neutral
443,morning tweeple,neutral
444,hey i not any !,positive
445,now you only hour to sleep ... rest if you need it,neutral
446,that make my day so much well it a rough one i mention i love the new photo !,positive
447,i not want to sit home prom night someone hang me,neutral
448,head home foot surgery and wish she a boyfriend to come over and cuddle,negative
449,concert tonight chackin and not come tomorrow !,positive
450,what happen ? i think you come back today,neutral
451,laugh loud dammit well then next time then,neutral
452,laugh Loud just not ever forget me,negative
453,still jealous,positive
454,me forever ethan could not there,negative
455,now i m sad but i m not give first i nt nothing ! EMOTION_LOVE,negative
456,this week mine not easy ! but finally it over EMOTION_SMILE,negative
457,wow what a beautiful picture ... and the way i straight just want to let you know ! bella,negative
458,arch drawing check mvcc`s cad degree look good me,positive
459,there people and then there pencil some sharp some not and some can sharpen my pencil philosophy,positive
460,just to go home i usually mr . positive but this those daze well min tomorrow !,neutral
461,but you always lee let`s go paris,neutral
462,you know you want to come keep me company whilst mum`s her friend the night it such a nice evening !,neutral
463,cook my dad have lot fun the kitchen together,positive
464,bounce rush make me feel nauseous,positive
465,woolsery this morning hopefully see north molton u16 clinch the north devon league title lovely day it,negative
466,play singstar my fave duetter,positive
467,you miss bb ! i such a cereal nut i think i like every kind available,negative
468,just weird ... \ oh and what it you draw me ?,positive
469,just wake mum singe her new gn`r cd replacement i buy because i a good daughter,negative
470,the bird out oh man ... not cool & & i not sleep yet the night !,positive
471,mile down only to go that s ok You too the radio alwas help,negative
472,my street fighter skill lack can not beat seth easy,positive
473,fil cool people like me,negative
474,good morning ! work and then it espn`s sunday night baseball hopefully it will not rain,positive
475,i think it a honeymoon the good life either that or it a honey moon joseph arthur,positive
476,my son get sting a bug the first time his little finger slightly swollen,neutral
477,it hour ago i come in and it only now i realise when i go to buy something online,negative
478,oh just refer our lil exchange lj regard twitt archive posting,neutral
479,bump dj opus the drunk the car Laugh My don`t act like You not know,neutral
480,why kiss the foot the people who kick you when you can anything that you want to ? morning everyone ! hope you the good day ever,negative
481,a brief preview omg james creepy that role ! i scared him,positive
482,i miss crab leg and attend my go away instead !,negative
483,hick mean !,negative
484,gettn ready to take a trip to jersey my dad`s not do so good he need a new heart whoeva see`s this please say a prayer my dad,negative
485,back soon need to run the shop and cut the grass,negative
486,i up i a plan to transform my bedroom today random,neutral
487,home tomorrow my running and spin now time chiropractor laundry shopping and visit family miss nathan,neutral
488,that s another sponsor,negative
489,and most us go to stick an office some window,neutral
490,no it not sad should make you proud,negative
491,sorry we will try to keep it,negative
492,home alone do hw,negative
493,accord a quarter family live poverty,neutral
494,the plan to not spend money not go well,negative
495,upload all my bamboozle picture facebook,negative
496,congratulation ! you guy finish a month early than we boo,neutral
497,actually i wish i back tahoe i miss it there,positive
498,wake i wanna stay my bed,negative
499,but my bday june this wack ... and ihavent see any promotion my bday party someone better finagle this as soon as possible !,neutral
500,it would great if those vip some act i would enjoy see but noo,negative
501,marie wish i could make it too ! i hate my commute sometimes,neutral
502,workin a long day today ... hopefully i can make some good tip,neutral
503,but it all go too quick and there not a chance laugh loud,positive
504,hate headache ! maybe i not ready to rock,negative
505,thank the support,negative
506,there really no android twitter app tweetie`s calibre,positive
507,a good day drive mountain visit katie eat chip & fudge and stock lovely smelling soap,neutral
508,nyappy mother`s day your mom`s,positive
509,yeah and i gon na take ur picture my ipod baby,positive
510,traumatize moment my childhood my dog massacre baby bunny and my brother and i get the bb gun ...,neutral
511,laugh loud same here wish there a way to microsize everything ... laugh loud,negative
512,organization ... itil forget people and so they fail preach the convert it the people,neutral
513,libertine um glad you enjoy it ...,negative
514,to dinner and then an evening play card already pack and ready to head home tomorrow we to go home ?,positive
515,i allergic cat ! my tonsil get swell and they hurt what i doo ?,neutral
516,he say he feel mama tuck him in night he`s lonely but get tomorrow will tough !,negative
517,i miss her alot and its only day,negative
518,sound like you all a great night i glad it successful,negative
519,thank share that,positive
520,you should say mlia instead fml i hope you find it soon,positive
521,garden go well almost all the corn and pea up no onion or beet yet though,positive
522,nah jkin he hot ! so ... bored now,positive
523,ahh i sqeaky clean and fresh even though i wear dirty clothe i love and a half man it amazing !,neutral
524,yes i read them many time,positive
525,you play a grown twitter ?,neutral
526,i live ignorance,neutral
527,nope ... it tell you that you want cameo cream,negative
528,aww we gon na miss you !,neutral
529,we quite like worthe its a relaxing place nice coffee shop and fresh air and not too many oiks,negative
530,terrible haha that new the fact that he could not it should cost his part what kind spock that !,positive
531,today a lovely day ! i fun and this evening,neutral
532,beto`s pizzeria banksville rd i believe the beachview area ... sorry to answer like year later,positive
533,sigh my sister bein strange she come all the way copenhagen london and now her phone turn i wanna see her dammit,negative
534,it amazing,negative
535,barb try to figure y the dsl ai nt connect i need my google go home my computer if it not start work soon,positive
536,i sick and sad miss martini lounge tonight,neutral
537,seem really quiet tonight ... jealous those who clearly have a more exciting life than me bed i think,negative
538,really wish he some spare cash to buy the new punch wii,neutral
539,aw not go toronto anymore,negative
540,so sorry to hear your mom ! that really suck,negative
541,i feel you i hope it a smooth flight safe ! mucho amor boston,negative
542,can`t sleep ... so i watch hgtv i afraid infomercial about to take,positive
543,i get me & my family ready kaylee`s graduation ! it`s gon na make me so sad,negative
544,sweet dreams,negative
545,hay wat ur aim ? we should chat,positive
546,okay kool ... i may tour all summer long but we can make it happen !,neutral
547,pain my big toe get stomp the hokey cokeu it throb anyone any suggestion to heal it ?,neutral
548,time to watch op then some dead like me then sleep,negative
549,have dinner my grandma since i could not my mum,neutral
550,haha thanks its history and its how the invention television influence america laugh Loud,neutral
551,yea so wassup,positive
552,stupid job idk what to,neutral
553,shop til i drop come bac sunshine i miss You,negative
554,like your pic lucky girl again,negative
555,thank you i have anxiety issue year so i think if i can make it the first couple day then i will fine,positive
556,around hour leave a day weekend and i waay too much work to,neutral
557,feel love ! my mom get me a nikon cool pix my birthday,neutral
558,there attempt to somehow extend inner class which would close closure can not find the ref atm,positive
559,yes ! join us all we require a cupcake donation ...,neutral
560,i such a hard time talk new people i pretty sure i not make a good impression,neutral
561,rc234 haha yup but still a terrible headache and super swollen and puffy eye ! i nt think i go today.ugh,negative
